     JOBID  PARTITION                                                                                                           NAME           STATE       TIME
      7005   scopion4          Spin15_L256_Jdis080_Dim013_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7006   scopion4          Spin15_L256_Jdis080_Dim015_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7007   scopion4          Spin15_L384_Jdis080_Dim001_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7008   scopion4          Spin15_L384_Jdis080_Dim003_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7009   scopion4          Spin15_L384_Jdis080_Dim005_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7010   scopion4          Spin15_L384_Jdis080_Dim007_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7011   scopion4          Spin15_L384_Jdis080_Dim009_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7012   scopion4          Spin15_L384_Jdis080_Dim011_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7013   scopion4          Spin15_L384_Jdis080_Dim013_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7014   scopion4          Spin15_L384_Jdis080_Dim015_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7015   scopion4          Spin15_L512_Jdis080_Dim001_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7016   scopion4          Spin15_L512_Jdis080_Dim003_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7017   scopion4          Spin15_L512_Jdis080_Dim005_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7018   scopion4          Spin15_L512_Jdis080_Dim007_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7019   scopion4          Spin15_L512_Jdis080_Dim009_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7020   scopion4          Spin15_L512_Jdis080_Dim011_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7021   scopion4          Spin15_L512_Jdis080_Dim013_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7022   scopion4          Spin15_L512_Jdis080_Dim015_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         PENDING       0:00
      7129   scopion4                                                                                                     s11_Cs_v8c         PENDING       0:00
      7130   scopion4                                                                                                     s11_Cs_v8d         PENDING       0:00
      7138   scopion4                                                                                                     s11_Cs_v8h         PENDING       0:00
      7000   scopion4          Spin15_L256_Jdis080_Dim003_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         RUNNING    5:38:47
      6999   scopion4          Spin15_L256_Jdis080_Dim001_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         RUNNING    9:35:25
      6998   scopion4          Spin15_L128_Jdis080_Dim015_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         RUNNING   15:43:32
      6997   scopion4          Spin15_L128_Jdis080_Dim013_P10_BC=PBC_chi40_partition=scopion4_seed1=1_seed2=10000_ds=100_task=submit         RUNNING   16:13:58
     JOBID  PARTITION                                                                                                           NAME           STATE       TIME
      7146   scopion1                Spin15_L33_Jdis004_Dim001_P10_BC=PBC_chi33_partition=scopion1_seed1=1_seed2=10_ds=5_task=submit         RUNNING       0:01
      7145   scopion1                Spin15_L33_Jdis002_Dim001_P10_BC=PBC_chi33_partition=scopion1_seed1=1_seed2=10_ds=5_task=submit         RUNNING       0:03
      7143   scopion1                Spin15_L31_Jdis002_Dim001_P10_BC=PBC_chi33_partition=scopion1_seed1=1_seed2=10_ds=5_task=submit         RUNNING       0:04
      7144   scopion1                Spin15_L31_Jdis004_Dim001_P10_BC=PBC_chi33_partition=scopion1_seed1=1_seed2=10_ds=5_task=submit         RUNNING       0:04
      7132   scopion2                                                                                                     s11_Cs_v8f    REQUEUE_HOLD       0:00
      7131   scopion2                                                                                                     s11_Cs_v8e    REQUEUE_HOLD       0:00
      7027   scopion3          Spin15_L128_Jdis100_Dim009_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit      COMPLETING 1-09:58:30
      7026   scopion3          Spin15_L128_Jdis100_Dim007_P10_BC=PBC_chi40_partition=scopion3_seed1=1_seed2=10000_ds=100_task=submit      COMPLETING   13:54:52
      7128   scopion3                                                                                                     s11_Cs_v8b         PENDING       0:00
      7136   scopion3                                                                                                     s11_Cs_v8g         PENDING       0:00
      7127   scopion3                                                                                                     s11_Cs_v8a         RUNNING       3:48
      7130   scopion4                                                                                                     s11_Cs_v8d         PENDING       0:00
      7138   scopion4                                                                                                     s11_Cs_v8h         PENDING       0:00
      7129   scopion4                                                                                                     s11_Cs_v8c         RUNNING       3:48
